Question,Option1,Option2,Option3,Option4,Correct Option
"Meryl Streep, Leonardo DiCaprio, Diane Keaton, Robert De Niro starred in which movie together?",Titanic,Marvin's Room,The Beach,Basketball Diaries,Marvin's Room
Which month did the orignial six Star Wars movies come out?,December,March,May,September,May
Who was the first non-human to win an Oscar?,Lassie,Toto,Babe,MIckey Mouse,MIckey Mouse
Which film was the Number 1 grossing film in 2000?,Gladiator,Cast Away,Mission: Impossible 2,What Women Want,Mission: Impossible 2
Jeremy Reed is an albino man who has telepathy and paranormal powers in which 1995 film? ,Army of Darkness,The Mask,Powder,Memories,Powder
"The infamous movie about two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits.",Leaving Las Vegas,LA Confidential,Pulp Fiction,The Usual Suspects,Pulp Fiction
Who was not a part of the Brat Pack?,Robert Downey Jr,Molly Ringwald,Demi Moore,Rob Lowe,Robert Downey Jr
One of Robin Williams most iconic roles was Mrs Doubtfire. Who played his wife?,Meryl Streep,Sally Field,Mia Farrow,Diane Keaton,Sally Field
Which actress plays a computer programmer in The Net?,Sandra Bullock,Angelina Jolie,Meg Ryan,Nicole Kidman,Sandra Bullock
Which of the Chipmunks wore glasses?,Theodore,Simon,Simon,Dave,Simon
Carla Cugino invites Pauly Shore to join her during Thanksgiving at a farm in a small town. Name the movie.,Encino Man,Bio-Dome,Jury Duty,Son in Law,Son in Law
Which Harry Potter spell forces the target to dance?,Morsmordre,Tarantallegra,Petrificus Totalus,Furnunculus,Tarantallegra
What does Dumbledore give to Ron Weasley in his will?,Invisibility Cloak,Portrait,The Deluminator,Wand,The Deluminator
Which movie starred Sandra Bullock and Keanu Reeves?,The Blind Side,The Proposal,The Lakehouse,Forces of Nature,The Lakehouse
"No matter how much you change, you still have to pay the price for the things you've done' was said in which movie?",The Town,Argo,The Wayback,Gone Girl,The Town
 Who was Alyssa Milano's TV Dad from 1984  - 1992?,Alan Thicke,Tony Danza,John Goodman,Bill Cosby,Tony Danza
Helen Hunt plays Jo Harding caught in the storm in this action adventure flick.,Independence Day,Twister,Cast Away,Armageddon,Twister
What was the first Disney composition to win an Academy Award for Best Original Song?,Someday my Prince Will Come,Circle of Life,Beauty & the Beast,When You Wish Upon A Star,When You Wish Upon A Star
"Who is ""smarter than the average bear""?",Yogi Bear,Rupert the Bear,Winnie the Pooh,Paddington Bear,Yogi Bear
"When asked if she wore falsies, which '50s sex symbol said, ""Those who know me better, know better""?",Betty Grable,Jayne Mansfield,Elizabeth Taylor,Marilyn Monroe,Marilyn Monroe
"Who are Larry, Curly, Moe?",Jersey Shore,Three's Company,Three Stooges,Jonas Brothers,Three Stooges
"James Cameron, the Canadian director of this popular film went on to direct Avatar",Avengers,Bourne Idenity,Star Wars,Titanic,Titanic
Emile Hirsch played a race car driver in this film which also starred Christina Ricci,Cars,Speed Racer,Talladega Nights,Need for Speed,Speed Racer
Which character did Lucy Lui play in Kill Bill?,Bride,Copperhead,Cottonmouth,California Mountain Snake,Cottonmouth
"The character Cruella recently appeared in 2021 film of the same name, but originated in which film?",101 Dalmations,The Hundred and One Dalmatians ,Once Upon a Time,102 Dalmations,The Hundred and One Dalmatians 
Katie Holmes started her career on Dawson's Creek. What was her character's name?,Jen Lindley,Dawson Leery,Audrey Liddell,Joey Potter,Joey Potter
"What was the fictional popular song in Hugh Grant & Drew Barrymore's film ""Music and Lyrics?""",I Love You Forever,Pop! Goes My Heart,Bye Bye Bye,The Voice of Cheese,Pop! Goes My Heart
Gordon Gekko had a new book in Wall Street: Money Never Sleeps. What was the title?,Is Greed Good?,Money Never Sleeps,God Hates Us All,Some New Beginnings,Is Greed Good?
Who starred opposite Arnold Schwarzengger in the movie Twins?,Danny DeVito,Tony Danza,Sylvester Stallone,Sinbad,Danny DeVito
"Jennifer Love Hewitt is mostly known for being an actress, but she also has 4 albums released. What's the name of her last album?",Love Songs,Let's Go Bang,Jennifer Love Hewitt,BareNaked,BareNaked
Two of her TV roles have included Commander in Chief and Dr. Nicole Herman in Grey's Anatomy,Elisabeth Moss,Geena Davis,Sarah Paulson,Neve Campbell,Geena Davis
Who played Batman in 1989?,Val Kilmer,Christian Bale,George Clooney,Michael Keaton,Michael Keaton
Demi Lovato's breakthrough role happened on which TV show?,High School Musical,Sonny with a Chance,Camp Rock,Glee,Camp Rock
Kyra Sedgwick and Sherri Shepherd starred in this short-lived 2021 sitcom on ABC.,American Housewife,Rebel,Call Your Mother,The Unicorn,Call Your Mother
What is the name of the main opposing team against the Mighty Ducks in Game Changers on Disney+?,Can't Haves,The Ducks,Maple Leafs,Don't Bothers,Don't Bothers
Which famous actress directed Mel Gibson with a hand puppet in the 2011 film The Beaver?,Jodie Foster,Helen Hunt,Susan Sarandon,Natalie Portman,Jodie Foster
"In the 90's, what was Molly Shannon's popular saying that turned into a movie of the same name?",I'm Not a Slut!,Saturday Night Live,Superstar!,Mary Katherine Gallagher,Superstar!
Which Michelle Pfeifer movie contained the hit song Gangsta's Paradise by Coolio in its soundtrack?,Dangerous Minds,Poetic Justice,Boyz N the Hood,Scarface,Dangerous Minds
Kristen Wiig plays which character in Wonder Woman 1984?,Diana Prince,Hippolyta,Barbara Minerva,Antiope,Barbara Minerva
The highest rated Oscars ceremony was in 1998 when Titanic won Best Picture. Who was the host?,Whoopi Goldberg,Bob Hope,Hugh Jackman,Billy Crystal,Billy Crystal
"Before they were married (And then divorced), Brad Pitt and Angelina Jolie met on the set of this film.",Moneyball,By the Sea,The Mexican,Mr & Mrs Smith,Mr & Mrs Smith
"In Lion King, what does Hakuna Matata mean?",Don't worry,No worries,Circle of Life,Be Careful,No worries
Walt Disney's first character he created was named... ,Mickey Mouse,Minnie Mouse,Oswald the Lucky Rabbit,Steve the Kangaroo,Oswald the Lucky Rabbit
Dwayne Johnson stars as the voice of which character in Disney's Moana?,Chef Tui,Moana,Tamatoa,Maui,Maui
The longest daytime soap opera is...,Days of our Lives,Young and the Restless,General Hospital,Coronation Street,Coronation Street
What is name of Goofy's son?,Tom,Steve,Max,Barry,Max
"Besides Thor, what other character lifted Thor's hammer?",Captain America,Ironman,Black Widow,The Hulk,Captain America
"In Finding Nemo, how old is the Crush the turtle?",100,150,200,50,150
The most watched American Idol finale was 38.1 million viewers when this singer won the show.,Kelly Clarkson,Carrie Underwood,Ruben Studdard,Taylor Hicks,Ruben Studdard
Kathleen Turner played Chandler's father in Friends. What was her character's name?,Regina Phalange,Helena Handbasket,Mr Chandler,Officer Bing,Helena Handbasket
"In the Family Guy series, what is Stewie Griffin's IQ Score?",50,70,100,150,70
Which character is reportedly not returning for the Sex in the City 3 movie?,Carrie,Charlotte,Samantha,Miranda,Samantha
Which Beverly Hills 90210 character appeared in Melrose Place's first season?,Kelly Taylor,Donna Martin,Brenda Walsh,Andrea Zuckerman,Kelly Taylor
Nick Jonas played an MMA fighter in which TV Series?,Animal Kingdom,Kingdom,Scream Queens,Hawaii Five-O,Kingdom
Which TV series won the most Emmys?,Modern Family,Frasier ,SNL,Game of Thrones,SNL
Fox cancelled this reality show after only airing one episode in 2005 after outrage. ,The Hasselhoffs,Osbournes Reloaded,Who's Your Daddy?,Lawless,Who's Your Daddy?
Which FX show is about the development of a prediction algothrim?,Devs,It's Always Sunny in Philadelphia,American Horror Story,Mr Inbetween,Devs
In which year did Oprah Winfrey end her daytime talk show?,2009,2010,2011,2012,2011
Which actor did the voices for both Wall-E and R2-D2?,Jeff Garlin,John Ratzenberger,Matt Lanter,Ben Burtt,Ben Burtt
Beverly Hills 90210 star Jennie Garth was married to this actor the longest of her three marriages as of 2021.,Peter Facinelli,Dave Abrams,Daniel B. Clark,Luke Perry,Peter Facinelli
"In Frasier, what is Eddie's full name?",Eddie Krane,Eddie Spaghetti,Eddie Meatballs,Eddie Van Halen,Eddie Spaghetti
"What character, in Cheers, gets a warm welcome by everyone screaming his name upon entrance?",Norm,Ted,Cliff,Diane,Norm
How are actors Charlie Sheen and Emilio Estevez realated?,Brothers,Father/Son,Cousins,Uncle/Nephew,Brothers
"What does Mr, Rogers ask you to be, in his theme song?",Friend,Helper,Neighbor,All you can be,Neighbor
Who plays Mr. Ripley in The Talented Mr Ripley?,Ben Affleck,Jude Law,Rober Downey Jr.,Matt Damon,Matt Damon
What kind of creature is Star Wars' Chewbacca?,Exogorth,Wookie,Rathar,Ewok,Wookie
What does the A stand for in the television network ABC?,Audio,Amalgamated,American,Artistic,American
Who is known as Da Niao in China?,Big Bird,Oscar the Grouch,Kermit the Frog,Miss Piggy,Big Bird
What French city is home to an annual Film Festival?,Paris,Cannes,Marseilles,Bordeaux,Cannes
What is the name of the Starkist Tuna mascot?,Fred,George,Tony,Charlie,Charlie
